Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RHH2271,4.036939399,0.021472248,2574.4365,3.9315262,Sensitive
RHH2273,1.957607639,0.694486593,908.31885,129.90086,Sensitive
RHH2274,1.944566177,0.550479034,784.8744,95.00694,Sensitive
RHH2275,1.617722269,1.226030499,691.95856,171.30862,Sensitive
RHH2276,2.132074809,0.97985889,717.9857,95.52939,Sensitive
RHH2277,2.145335687,0.857925079,848.69116,102.09173,Sensitive
RHH2278,2.151313483,0.854213805,907.999,100.22772,Sensitive
RHH2280,1.817295111,0.595247829,583.67035,150.31152,Sensitive
RHH2281,2.111615013,1.40302476,889.0467,350.7778,Sensitive
RHH2282,1.556009148,1.162594127,740.17017,246.48581,Sensitive
RHH2283,1.584225921,1.171763159,642.8019,285.20593,Sensitive
RHH2284,1.935801575,0.826416816,580.0652,165.52829,Sensitive
RHH2285,1.389944683,1.117511482,570.28595,217.73193,Sensitive
RHH2286,1.23817056,1.248345787,810.6076,176.9635,Resistant
RHH2287,1.896259681,0.962968226,872.52246,217.649,Sensitive
RHH2288,2.090701141,0.570804542,749.04724,86.44271,Sensitive
RHH2289,1.197979591,1.298824699,554.01337,267.44687,Resistant
RHH2290,1.897005257,1.677704859,597.0578,349.2657,Sensitive
RHH2291,1.32831389,1.241421089,619.1648,175.42807,Sensitive
RHH2292,1.591149009,0.634099703,539.6085,160.89783,Resistant
RHH2293,1.233730983,1.420408407,562.87915,282.39557,Resistant
RHH2294,1.681465342,1.059581647,840.67316,235.47444,Sensitive
RHH2295,1.19132855,1.215961807,606.05597,223.02798,Resistant
RHH2296,1.750318651,0.553280865,670.2733,173.54669,Sensitive
RHH2297,1.484855199,1.169822286,642.9651,299.04172,Sensitive
RHH2298,1.614696235,0.870908802,447.71368,127.02033,Sensitive
RHH2299,1.470021188,1.253136604,662.534,167.4351,Sensitive
RHH2300,1.474903937,1.413945334,615.1527,210.94534,Sensitive
RHH2301,1.272773771,1.386054105,463.95792,311.33606,Resistant
RHH2302,1.22807619,0.888506357,640.4393,308.1714,Sensitive
RHH2303,2.090210407,1.021113961,643.29205,137.63223,Sensitive
RHH2304,1.844267666,0.743948232,617.1717,162.58511,Sensitive
RHH2305,1.666745963,1.094605032,703.0836,210.70927,Sensitive
RHH2306,1.157132078,1.282517006,432.64972,334.246,Sensitive
RHH2307,1.439280687,1.487126637,659.63257,253.63614,Sensitive
RHH2308,1.227520445,1.029714107,537.7255,301.66605,Resistant
RHH2309,1.131630246,1.165088114,565.43915,203.95609,Sensitive
RHH2310,1.020823112,1.343393696,517.703,311.60074,Resistant
RHH2311,1.329013146,1.113546567,508.0951,271.96796,Resistant
RHH2312,1.816504923,0.796408123,493.473,268.0914,Sensitive
RHH2313,2.059672931,1.041826646,801.8778,153.49625,Resistant
RHH2314,1.351160064,1.380559004,509.84003,251.63377,Resistant
RHH2315,2.053624771,1.191285015,600.85754,263.06784,Sensitive
RHH2316,1.976311415,0.750992,617.7202,145.8383,Sensitive
RHH2317,1.995044205,1.108031405,641.6989,193.36433,Sensitive
RHH2318,1.448499327,1.228186237,501.19138,271.68396,Sensitive
RHH2319,1.908611538,0.857781353,559.33685,160.59354,Sensitive
RHH2320,1.561935721,1.231225054,671.5952,185.01727,Sensitive
RHH2321,1.625662932,1.303423684,690.90125,194.88538,Sensitive
RHH2322,1.898141106,1.017330409,644.77625,289.83264,Sensitive
RHH2323,1.258202815,1.183855332,532.6827,239.98009,Resistant
RHH2324,1.423993624,1.037487665,505.15927,249.38821,Sensitive
RHH2325,1.762681705,1.354117694,518.27765,320.2549,Resistant
RHH2326,1.826448603,1.515163882,644.7146,278.7614,Resistant
RHH2327,1.824704267,1.431055291,708.93616,173.11157,Sensitive
RHH2328,1.74601004,1.07386831,783.2699,136.50227,Sensitive
RHH2329,1.397383806,1.484556359,555.6361,272.95898,Sensitive
RHH2330,1.321032487,1.786874623,728.3432,602.02246,Sensitive
RHH2331,1.720914921,1.205339352,579.32837,224.767,Sensitive
RHH2332,1.873884642,1.04059476,667.3926,151.0094,Sensitive
RHH2333,1.603166615,1.050033487,700.49884,192.15396,Sensitive
RHH2334,1.537282464,1.32784925,595.50446,249.59662,Resistant
RHH2335,2.0867516,1.629769518,608.777,264.5217,Sensitive
RHH2336,2.182448181,0.830354273,653.09576,197.34088,Sensitive
RHH2337,1.749141794,1.230925218,573.8313,276.77246,Resistant
RHH2338,1.999633821,1.76318528,698.7556,280.5224,Sensitive
RHH2339,1.501463744,1.395266516,631.6913,237.24973,Sensitive
RHH2340,1.486838019,1.328951726,579.1156,519.411,Resistant
RHH2341,1.543586128,1.526277221,653.02106,396.59613,Sensitive
RHH2342,1.804072965,1.494617333,676.0215,270.68634,Sensitive
RHH2343,0.951137779,0.988206423,617.3549,166.02713,Sensitive
RHH2344,1.721264349,0.495853639,689.4735,202.81561,Sensitive
RHH2345,1.224009783,1.209680754,606.5432,288.96063,Sensitive
RHH2346,2.428290995,1.523535761,712.8739,249.59879,Sensitive
RHH2347,1.455906567,1.257450993,584.8827,270.92664,Sensitive
RHH2348,2.329939369,1.486041252,676.7753,209.8097,Sensitive
RHH2349,1.471608845,1.283554506,577.1139,159.5198,Sensitive
RHH2350,1.91093035,1.43599761,678.2201,227.3757,Resistant
RHH2351,1.092002007,1.08520938,311.31995,115.26572,Sensitive
RHH2352,1.632302426,0.353019928,727.21765,102.19175,Sensitive
RHH2353,1.991020618,0.996121268,677.826,210.69379,Sensitive
RHH2354,1.85301387,0.957517725,665.9275,255.73732,Sensitive
RHH2355,2.156477607,1.296821562,708.805,231.28384,Sensitive
RHH2356,1.252528311,1.5923843,548.4077,258.7168,Sensitive
RHH2357,1.312139923,1.068907221,559.218,169.94641,Sensitive
RHH2358,1.75391359,1.154993795,744.3806,111.50277,Sensitive
RHH2359,1.644244704,1.269194706,817.3446,131.30644,Sensitive
RHH2362,1.441000542,0.695028434,816.42926,162.99664,Sensitive
RHH2363,1.098009403,1.202479309,625.1815,216.55371,Sensitive
RHH2364,1.645277413,1.046822515,807.1705,221.1376,Sensitive
RHH2365,1.60187628,0.921361874,679.9059,150.5591,Resistant
RHH2366,1.448079365,0.696821864,664.9306,166.38171,Sensitive
RHH2368,0.241334744,2.400907834,318.96463,690.68115,Resistant
RHH2369,0.429546944,2.51022128,337.10623,771.54474,Resistant
RHH2370,0.244530382,2.122970869,303.3127,554.0823,Resistant
RHH2371,0.313300958,2.009020016,376.97318,575.8859,Resistant
RHH2372,0.397935055,2.169015537,317.8814,688.1607,Resistant
RHH2373,0.33621266,2.1595319,344.7425,692.5976,Resistant
RHH2374,0.72632737,2.484388201,372.34814,786.7972,Resistant
RHH2375,0.331924813,2.316239956,289.54126,689.9376,Resistant
RHH2376,0.460202206,2.457568183,252.53024,833.2462,Resistant
RHH2377,0.501009906,2.438773779,257.2368,807.62305,Resistant
RHH2378,0.281475275,2.251623689,304.1764,555.76105,Resistant
RHH2379,0.640639655,2.365985633,332.88245,831.52747,Resistant
RHH2380,0.565440395,2.233876632,330.69757,855.5992,Resistant
RHH2381,0.823656528,2.413708405,289.3944,959.51733,Resistant
RHH2382,0.693061509,2.228041292,248.935,646.9725,Resistant
RHH2383,0.508252278,2.424804942,300.5535,737.8813,Resistant
RHH2384,0.509998358,2.552638264,369.56335,866.7006,Resistant
RHH2385,0.426053289,2.099518688,371.8006,508.6378,Resistant
RHH2386,0.424011624,2.317010276,344.57455,701.90155,Resistant
RHH2387,0.680928344,2.585350003,308.24945,758.2977,Resistant
RHH2388,0.419021113,2.190775597,357.6148,699.1469,Resistant
