Cell id,Predicted_sensitive_DEG_score,Predicted_resistant_DEG_score,Ground_truth_sensitive_DEG_score,Ground_truth_resistant_DEG_score,Prediction
RPI7_B21,-0.133411205,1.223943365,-1.8968687,12.253226,Resistant
RPI7_B22,-0.208995173,1.240727603,-2.2154546,13.57984,Resistant
RPI7_B23,-0.046294113,0.876756287,-0.005252525,0.16758065,Resistant
RPI7_B24,-0.272599996,1.167663696,-1.9871716,10.138548,Resistant
RPI7_C1,-0.191892861,1.073361956,-2.2136364,13.172581,Resistant
RPI7_C2,0.027544346,0.99565876,-0.6633334,4.769516,Sensitive
RPI7_C3,0.139787791,0.878595084,-0.41454554,5.338871,Sensitive
RPI7_C4,0.000341526,1.066248614,-1.8075757,11.1977415,Resistant
RPI7_C5,-0.286106345,1.086668154,-1.6481818,9.217258,Resistant
RPI7_C6,-0.236192015,1.064501765,-3.839899,20.657257,Resistant
RPI7_C8,-0.126635936,1.055609529,-2.6946464,20.256128,Resistant
RPI7_C9,-0.172037829,0.963718947,-0.022727273,0.11516129,Resistant
RPI7_C10,-0.099701683,0.997175757,-2.2018182,15.488871,Resistant
RPI7_C11,-0.232032095,1.087682172,-1.4471717,7.7924194,Resistant
RPI7_C12,-0.127363126,1.159317713,-1.7156566,9.605,Resistant
RPI7_C13,-0.186374597,1.150845288,-1.3127272,8.583549,Resistant
RPI7_C14,-0.036494473,1.082540008,-1.7543434,10.439356,Resistant
RPI7_C15,-0.158530858,1.085051266,-1.6836362,9.689838,Resistant
RPI7_C16,-0.171450717,1.162582159,-1.7275758,9.490162,Resistant
RPI7_C17,-0.199835293,1.173161647,-0.9132323,4.322258,Resistant
RPI7_C18,-0.218711209,1.074651363,-2.328788,13.356774,Resistant
RPI7_C19,-0.304871833,0.989993795,-1.7916161,8.139516,Resistant
RPI7_C20,-0.061684824,0.00552013,-0.002727274,0.063548386,Sensitive
RPI7_C21,-0.255408465,1.246566573,-2.8230302,14.235161,Resistant
RPI7_C22,-0.253442486,1.117730915,-2.3619192,12.693227,Resistant
RPI7_C23,-0.299660164,1.066256661,-2.9748485,16.280968,Resistant
RPI7_C24,-0.303189414,1.033777313,-5.8858585,23.887905,Resistant
RPI7_D1,-0.142710491,1.101043883,-2.5088887,15.930485,Resistant
RPI7_D2,-0.323187794,1.048401852,-0.9756565,5.698387,Resistant
RPI7_D3,-0.184260566,0.954094788,-2.2088888,8.142902,Resistant
RPI7_D4,-0.184885513,1.195244333,-2.139394,14.205967,Resistant
RPI7_D5,-0.188026268,0.881488212,-2.4740405,10.790968,Resistant
RPI7_D6,-0.057007938,1.005772561,-1.2815151,5.8091936,Resistant
RPI7_D7,-0.290924388,1.018101695,-2.2105052,9.846452,Resistant
RPI7_D8,-0.251339778,1.102707792,-1.4231313,7.834355,Resistant
RPI7_D9,-0.107674306,1.006993682,-1.3107071,8.109516,Resistant
RPI7_D10,-0.407041131,1.198897133,-1.3912121,8.965,Resistant
RPI7_D11,-0.085145354,1.111958169,-1.4751515,8.324032,Resistant
RPI7_D12,-0.194515122,0.977985049,-2.0422223,11.00016,Resistant
RPI7_D14,-0.144737972,0.982521926,-2.008788,8.809516,Resistant
RPI7_D15,-0.190391985,1.121486394,-1.8181818,9.709517,Resistant
RPI7_D16,-0.277203764,1.127413455,-2.0982828,11.410484,Resistant
RPI7_D17,-0.210816826,1.057046745,-1.6322224,10.966936,Resistant
RPI7_D18,-0.19513835,1.099089818,-1.2136364,5.981452,Resistant
RPI7_D19,-0.095716859,0.946145133,-1.7192929,5.699032,Resistant
RPI7_D20,-0.21998372,1.117275892,-2.8156567,13.6098385,Resistant
RPI7_D21,0.125950567,0.982375875,-0.74333334,4.1390324,Sensitive
RPI7_D22,-0.10653643,1.126518596,-1.0751514,5.5090322,Resistant
RPI7_E1,0.545113758,0.45796847,3.590909,5.4343553,Sensitive
RPI7_E2,0.67023545,0.360248918,3.09202,3.669032,Sensitive
RPI7_E4,0.643195315,0.544702204,1.4719191,4.4740324,Sensitive
RPI7_E5,0.882506517,0.516092814,2.9855554,4.190161,Sensitive
RPI7_E6,0.638240042,0.484595971,1.330909,4.461774,Sensitive
RPI7_E7,0.470840153,0.626468945,0.8194947,4.956613,Sensitive
